allo	7	10	5	 pA_B	
ait	4	5	4	 pA_I	
pas	5	5	4	 pA_I	
besoin	5	5	4	 pA_I	
de	4	5	4	 pA_I	
billetterie	4	5	3	 pA_I	
comme	4	5	4	 pA_I	
euh	4	4	4	 pA_I	
la	4	4	4	 pA_I	
salle	4	4	4	 pA_I	
de	4	4	4	 pA_I	
spectacle	4	5	3	 pA_I	
donc	3	4	3	 pA_I	
y	3	4	3	 pA_I	
a	 NA	 NA	 NA	 pA_I	
pas	3	3	2	 pA_I	
pas	3	3	3	 pA_I	
besoin	3	4	3	 pA_I	
de	3	3	3	 pA_I	
quelqu	3	4	3	 pA_I	
un	3	4	3	 pA_I	
à	3	3	3	 pA_I	
l	5	7	3	 pA_I	
entrée	5	7	3	 pA_I	
mais	4	4	3	 pA_I	
est	21	21	20	 pA_I	
ce	 NA	 NA	 NA	 pA_I	
qu	4	4	3	 pA_I	
on	4	4	3	 pA_I	
décide	4	5	3	 pA_I	
de	4	4	3	 pA_I	
faire	4	4	4	 pA_I	
un	4	4	4	 pA_I	
pot	7	8	6	 pA_L	
c	4	4	4	 pA_B	
était	4	4	4	 pA_I	
ton	4	4	3	 pA_I	
souhait	6	6	5	 pA_I	
aussi	5	6	4	 pA_I	
de	6	6	6	 pA_I	
faire	4	5	3	 pA_I	
des	4	4	4	 pA_I	
pots	5	5	4	 pA_I	
à	4	4	4	 pA_I	
la	 NA	 NA	 NA	 pA_I	
so-	 NA	 NA	 NA	 pA_I	
à	11	22	3	 pA_I	
à	9	22	3	 pA_I	
à	10	21	3	 pA_I	
la	3	4	3	 pA_I	
fin	4	5	3	 pA_I	
des	4	4	3	 pA_I	
des	5	9	3	 pA_I	
des	3	3	3	 pA_I	
des	3	3	2	 pA_I	
conférences	4	4	3	 pA_I	
ou	3	3	3	 pA_I	
des	3	3	3	 pA_I	
débats	3	4	3	 pA_I	
ça	3	3	3	 pA_I	
a	 NA	 NA	 NA	 pA_I	
été	4	4	3	 pA_I	
prévu	4	4	3	 pA_I	
dans	4	4	3	 pA_I	
le	4	4	3	 pA_I	
budget	4	4	3	 pA_I	
euh	7	19	2	 pA_I	
comment	5	5	4	 pA_I	
on	4	5	4	 pA_I	
s	4	4	3	 pA_I	
organise	4	4	3	 pA_I	
pour	3	3	3	 pA_I	
ce	3	4	3	 pA_I	
pot	6	9	5	 pA_L	
euh	2	4	30	 pA_B	
et	10	17	4	 pA_I	
puis	7	21	4	 pA_I	
euh	4	5	3	 pA_I	
l-	1	2	1	 pA_I	
l	4	10	3	 pA_I	
installation	4	10	3	 pA_I	
un	5	5	5	 pA_I	
petit	4	4	4	 pA_I	
peu	4	4	3	 pA_I	
de	4	4	3	 pA_I	
matériel	4	6	3	 pA_I	
euh	4	5	3	 pA_I	
donc	4	4	3	 pA_I	
qui	5	5	5	 pA_I	
sera	5	6	4	 pA_I	
là	5	6	4	 pA_I	
le	5	10	3	 pA_I	
euh	3	4	3	 pA_I	
le	1	4	30	 pA_I	
le	4	4	3	 pA_I	
le	4	5	3	 pA_I	
le	5	10	3	 pA_I	
le	6	11	3	 pA_I	
vingt	4	4	4	 pA_I	
sept	4	5	4	 pA_I	
mai	6	9	4	 pA_I	
pour	4	4	4	 pA_I	
euh	3	3	3	 pA_I	
donner	4	5	3	 pA_I	
un	4	5	4	 pA_I	
coup	10	21	4	 pA_I	
de	4	4	3	 pA_I	
main	6	7	4	 pA_I	
pour	5	7	4	 pA_I	
mettre	4	4	4	 pA_I	
en	4	4	4	 pA_I	
place	4	5	3	 pA_I	
euh	3	4	3	 pA_I	
les	4	4	3	 pA_I	
tables	5	6	3	 pA_I	
les	4	4	4	 pA_I	
chaises	5	6	4	 pA_I	
euh	4	5	3	 pA_I	
et	11	13	10	 pA_I	
caetera	3	4	3	 pA_L	
	 	 	 	 	 
bon	3	3	1	 pA_B	
okay	5	9	30	 pA_I	
donc	4	5	3	 pA_I	
je	 NA	 NA	 NA	 pA_I	
compte	4	4	3	 pA_L	
	 	 	 	 	 
j	1	1	1	 pA_B	
ai	1	1	1	 pA_I	
pas	2	2	1	 pA_I	
mon	1	1	1	 pA_I	
agenda	1	1	1	 pA_L	
	 	 	 	 	 
tu	1	1	1	 pA_B	
n	1	2	1	 pA_I	
as	1	2	1	 pA_I	
pas	1	2	1	 pA_I	
d	5	21	1	 pA_I	
agenda	5	21	1	 pA_L	
	 	 	 	 	 
s	3	5	2	 pA_B	
il	3	5	2	 pA_I	
faut	8	13	2	 pA_I	
organiser	3	7	1	 pA_I	
alors	1	2	1	 pA_I	
nous	1	2	1	 pA_I	
on	1	1	1	 pA_L	
	 	 	 	 	 
je	6	6	5	 pA_B	
serai	8	12	6	 pA_I	
là	6	7	5	 pA_L	
	 	 	 	 	 
c	3	6	1	 pA_B	
est	3	6	1	 pA_I	
c	3	6	2	 pA_I	
est	3	6	2	 pA_I	
un	3	5	1	 pA_I	
mer-	2	4	1	 pA_I	
un	4	5	4	 pA_I	
mercredi	2	5	1	 pA_I	
on	1	3	29	 pA_I	
sera	2	2	2	 pA_I	
là	2	3	1	 pA_I	
enfin	2	4	1	 pA_I	
que	2	4	1	 pA_I	
jusqu	1	2	1	 pA_I	
à	1	2	1	 pA_I	
vingt	1	3	1	 pA_I	
heures	3	3	2	 pA_L	
	 	 	 	 	 
je	2	3	1	 pA_B	
sais	2	3	1	 pA_I	
pas	2	2	2	 pA_I	
comment	2	3	2	 pA_I	
je	2	3	2	 pA_I	
peux	2	3	2	 pA_I	
aider	3	5	1	 pA_I	
mais	2	2	1	 pA_I	
si	1	2	29	 pA_I	
je	1	2	29	 pA_I	
peux	1	2	29	 pA_I	
aider	2	4	29	 pA_L	
	 	 	 	 	 
y	1	1	1	 pA_B	
a	1	1	1	 pA_I	
le	11	15	1	 pA_I	
théâtre	3	5	1	 pA_L	
	 	 	 	 	 
y	2	2	2	 pA_B	
a	2	2	2	 pA_I	
pas	3	3	3	 pA_I	
de	3	3	3	 pA_I	
souci	1	2	30	 pA_L	
	 	 	 	 	 
moi	1	1	1	 pA_B	
tu	2	2	1	 pA_I	
mets	1	2	1	 pA_I	
un	1	1	1	 pA_I	
point	1	2	1	 pA_I	
d	1	3	1	 pA_I	
interrogation	1	3	1	 pA_I	
parce	2	3	1	 pA_I	
que	2	3	1	 pA_I	
j	1	1	1	 pA_I	
ai	1	1	1	 pA_I	
pas	5	15	30	 pA_L	
	 	 	 	 	 
on	2	2	1	 pA_B	
a	2	2	2	 pA_I	
le	2	2	2	 pA_I	
théâtre	2	3	1	 pA_L	
	 	 	 	 	 
est	12	20	30	 pA_B	
ce	 NA	 NA	 NA	 pA_I	
que	5	5	5	 pA_I	
ça	7	21	4	 pA_I	
est	 NA	 NA	 NA	 pA_I	
ce	 NA	 NA	 NA	 pA_I	
que	5	7	4	 pA_I	
tu	30	1	30	 pA_I	
tu	3	3	3	 pA_I	
partiras	5	5	4	 pA_I	
sur	4	4	4	 pA_I	
le	4	4	4	 pA_I	
coup	 NA	 NA	 NA	 pA_I	
sur	4	4	4	 pA_I	
ton	4	4	4	 pA_I	
théâtre	5	5	4	 pA_I	
ou	4	5	4	 pA_I	
est	4	4	4	 pA_I	
ce	 NA	 NA	 NA	 pA_I	
que	4	4	4	 pA_I	
tu	3	4	3	 pA_I	
tu	30	30	30	 pA_L	
	 	 	 	 	 
ah	1	4	30	 pA_B	
oui	3	5	2	 pA_I	
je	2	3	1	 pA_I	
viendrai	3	15	30	 pA_I	
avant	1	2	1	 pA_I	
euh	1	1	30	 pA_L	
	 	 	 	 	 
donc	5	5	4	 pA_B	
tu	6	6	5	 pA_I	
resterais	4	7	2	 pA_I	
pas	6	7	4	 pA_I	
sur	5	5	5	 pA_I	
le	4	5	2	 pA_L	
	 	 	 	 	 
viendrai	1	2	1	 pA_B	
avant	1	2	1	 pA_I	
et	2	2	1	 pA_I	
je	1	1	1	 pA_I	
viendrai	1	1	1	 pA_I	
après	2	2	1	 pA_L	
	 	 	 	 	 
d	3	4	29	 pA_B	
accord	3	4	29	 pA_I	
ok	30	30	29	 pA_L	
	 	 	 	 	 
et	2	2	2	 pA_B	
ce	2	2	1	 pA_I	
serait	2	2	2	 pA_I	
à	2	2	2	 pA_I	
quelle	2	2	2	 pA_I	
heure	5	11	2	 pA_I	
mercredi	2	2	1	 pA_L	
	 	 	 	 	 
installation	4	9	30	 pA_B	
installation	5	9	3	 pA_L	
	 	 	 	 	 
de	1	1	1	 pA_B	
vingt	2	3	1	 pA_I	
heures	3	3	2	 pA_I	
à	1	1	1	 pA_I	
vingt	2	3	1	 pA_I	
deux	11	11	11	 pA_I	
heures	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
d	 NA	 NA	 NA	 pA_B	
acc-	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
tous	3	3	3	 pA_B	
les	3	3	2	 pA_I	
mercredis	7	13	2	 pA_L	
	 	 	 	 	 
d	5	9	3	 pA_B	
accord	5	9	3	 pA_I	
de	4	5	3	 pA_I	
toute	5	6	4	 pA_I	
façon	6	7	5	 pA_I	
l	4	7	1	 pA_I	
installation	4	7	1	 pA_L	
	 	 	 	 	 
donc	1	1	1	 pA_B	
ça	 NA	 NA	 NA	 pA_I	
sera	1	1	1	 pA_I	
fermé	1	2	1	 pA_I	
ça	1	1	1	 pA_I	
sera	1	1	1	 pA_I	
ça	30	1	30	 pA_I	
sera	1	1	30	 pA_I	
fini	1	1	1	 pA_I	
à	1	1	1	 pA_I	
vingt	1	1	1	 pA_I	
deux	1	1	1	 pA_I	
heures	1	1	1	 pA_I	
je	1	1	1	 pA_I	
pense	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
ouais	1	1	30	 pA_U	
	 	 	 	 	 
ben	2	2	2	 pA_B	
oui	3	4	2	 pA_I	
sûrement	3	5	30	 pA_L	
	 	 	 	 	 
oui	5	6	1	 pA_B	
je	5	5	5	 pA_I	
pense	5	6	5	 pA_I	
que	5	6	5	 pA_I	
vous	5	5	4	 pA_I	
au-	5	11	4	 pA_I	
on	7	12	4	 pA_I	
aura	5	5	4	 pA_I	
on	4	5	4	 pA_I	
vous	5	5	4	 pA_I	
sollicitera	4	5	1	 pA_I	
peut	5	5	5	 pA_I	
être	5	5	4	 pA_I	
pas	7	22	1	 pA_I	
après	5	5	4	 pA_I	
votre	4	5	4	 pA_I	
atelier	4	4	4	 pA_I	
théâtre	4	5	4	 pA_L	
	 	 	 	 	 
parce	4	4	4	 pA_B	
que	4	4	4	 pA_I	
je	4	4	4	 pA_I	
sais	4	4	4	 pA_I	
pas	4	4	4	 pA_I	
combien	4	5	4	 pA_I	
de	2	4	2	 pA_I	
temps	2	2	1	 pA_I	
ça	3	4	1	 pA_I	
va	2	4	1	 pA_I	
durer	3	4	2	 pA_I	
et	3	4	1	 pA_I	
tout	4	5	1	 pA_I	
enfin	4	5	3	 pA_I	
tu	3	3	3	 pA_I	
vois	5	5	4	 pA_L	
oui	5	5	4	 pA_B	
c	2	5	1	 pA_I	
est	2	5	1	 pA_I	
pas	4	5	4	 pA_I	
voilà	3	4	29	 pA_L	
je	 NA	 NA	 NA	 pA_B	
sais	4	4	4	 pA_I	
pas	 NA	 NA	 NA	 pA_L	
à	4	4	3	 pA_B	
voir	30	4	29	 pA_L	
	 	 	 	 	 
sachant	4	5	3	 pA_B	
que	5	5	4	 pA_I	
la	5	5	4	 pA_I	
salle	5	6	4	 pA_I	
numéro	5	5	4	 pA_I	
trois	4	4	4	 pA_I	
est	1	1	29	 pA_I	
disponible	4	5	30	 pA_I	
à	4	4	4	 pA_I	
partir	4	5	4	 pA_I	
de	3	4	3	 pA_I	
dix	5	6	3	 pA_I	
huit	6	6	4	 pA_I	
heures	4	5	3	 pA_I	
et	2	3	1	 pA_I	
pas	4	4	4	 pA_I	
avant	4	6	3	 pA_L	
	 	 	 	 	 
donc	4	4	3	 pA_B	
euh	3	3	3	 pA_I	
si	4	4	4	 pA_I	
on	4	4	4	 pA_I	
a	4	4	3	 pA_I	
euh	3	3	3	 pA_I	
si	3	3	3	 pA_I	
le	3	3	3	 pA_I	
le	3	3	3	 pA_I	
la	3	3	3	 pA_I	
conférence	4	5	4	 pA_I	
a	29	29	29	 pA_I	
même	30	1	29	 pA_I	
lieu	3	4	30	 pA_I	
à	3	4	3	 pA_I	
dix	3	3	3	 pA_I	
neuf	3	4	3	 pA_I	
heures	5	5	4	 pA_I	
on	4	5	3	 pA_I	
a	3	3	3	 pA_I	
une	4	4	3	 pA_I	
heure	4	5	4	 pA_I	
pour	3	4	3	 pA_I	
installer	2	4	29	 pA_I	
c	2	3	1	 pA_I	
est	2	3	1	 pA_I	
c	2	3	1	 pA_I	
est	2	3	1	 pA_I	
rapide	3	4	3	 pA_I	
hein	6	12	2	 pA_L	
	 	 	 	 	 
tranquille	30	1	30	 pA_B	
ouais	2	4	30	 pA_L	
	 	 	 	 	 
c	 NA	 NA	 NA	 pA_B	
est	 NA	 NA	 NA	 pA_I	
bien	1	1	1	 pA_L	
	 	 	 	 	 
ouais	6	9	2	 pA_B	
dix	6	8	5	 pA_I	
neuf	4	5	2	 pA_I	
heures	2	2	2	 pA_I	
en	5	6	2	 pA_I	
plus	6	7	5	 pA_I	
c	6	6	5	 pA_I	
est	6	6	5	 pA_I	
pas	4	4	2	 pA_I	
enfin	4	5	2	 pA_I	
ça	5	5	4	 pA_I	
me	5	5	4	 pA_I	
plaît	6	6	5	 pA_I	
comme	5	6	5	 pA_I	
horaire	4	5	4	 pA_L	
	 	 	 	 	 
et	4	4	3	 pA_B	
le	4	4	3	 pA_I	
coût	4	6	30	 pA_I	
est	5	6	5	 pA_I	
de	5	6	4	 pA_L	
	 	 	 	 	 
soixante	2	2	1	 pA_B	
euros	1	2	1	 pA_L	
	 	 	 	 	 
le	3	5	1	 pA_B	
coût	3	7	1	 pA_I	
est	6	6	6	 pA_I	
de	6	6	5	 pA_I	
soixante	5	6	5	 pA_I	
euros	4	5	4	 pA_L	
sûr	6	10	4	 pA_U	
	 	 	 	 	 
oui	3	3	3	 pA_U	
	 	 	 	 	 
c	8	8	8	 pA_B	
est	8	8	8	 pA_I	
une	2	2	2	 pA_I	
blague	2	3	29	 pA_L	
	 	 	 	 	 
ah	1	1	1	 pA_B	
ben	1	1	1	 pA_I	
ouais	1	1	1	 pA_L	
	 	 	 	 	 
avec	3	3	3	 pA_U	
	 	 	 	 	 
mais	2	2	2	 pA_B	
tu	2	2	2	 pA_I	
l	2	3	1	 pA_I	
avais	2	3	1	 pA_I	
pas	3	3	2	 pA_I	
comprise	4	5	3	 pA_I	
la	4	4	4	 pA_L	
	 	 	 	 	 
on	6	16	4	 pA_B	
parlait	4	5	3	 pA_I	
de	4	4	3	 pA_I	
la	3	4	3	 pA_I	
fautive	4	5	1	 pA_I	
je	2	3	1	 pA_I	
vois	3	3	2	 pA_I	
de	3	3	2	 pA_I	
quoi	3	3	3	 pA_I	
vous	3	3	3	 pA_I	
parlez	3	3	2	 pA_I	
c	8	12	3	 pA_I	
est	8	12	3	 pA_I	
moi	5	8	4	 pA_I	
le	5	5	5	 pA_I	
fautif	5	6	5	 pA_L	
	 	 	 	 	 
blague	5	5	4	 pA_B	
on	5	5	3	 pA_I	
blague	3	4	3	 pA_I	
on	7	9	4	 pA_I	
blague	8	22	4	 pA_I	
y	5	5	5	 pA_I	
a	14	22	5	 pA_I	
pas	6	21	5	 pA_I	
de	5	6	5	 pA_I	
souci	7	8	5	 pA_I	
y	6	6	5	 pA_I	
a	5	5	5	 pA_I	
pas	6	6	5	 pA_I	
d-	 NA	 NA	 NA	 pA_I	
y	4	5	3	 pA_I	
a	5	5	5	 pA_I	
pas	6	6	6	 pA_I	
de	6	6	6	 pA_I	
problème	5	6	5	 pA_L	
	 	 	 	 	 
alors	5	6	5	 pA_B	
attends	5	6	4	 pA_I	
le	5	5	4	 pA_I	
coût	6	7	5	 pA_I	
de	7	7	7	 pA_I	
soixante	6	6	5	 pA_I	
euros	7	13	5	 pA_I	
on	6	13	5	 pA_I	
fait	5	6	5	 pA_I	
un	5	5	4	 pA_I	
pot	6	7	5	 pA_I	
donc	4	7	1	 pA_I	
on	5	5	5	 pA_I	
s	5	5	4	 pA_I	
organisera	5	5	4	 pA_I	
pour	4	5	3	 pA_I	
acheter	4	4	4	 pA_I	
des	4	4	3	 pA_I	
cacahuètes	4	4	3	 pA_I	
et	4	4	3	 pA_I	
des	3	4	3	 pA_I	
boissons	5	7	3	 pA_I	
on	 NA	 NA	 NA	 pA_I	
va	3	3	3	 pA_I	
pas	4	4	3	 pA_I	
plus	5	5	4	 pA_I	
loin	6	7	4	 pA_L	
	 	 	 	 	 
non	1	1	1	 pA_U	
	 	 	 	 	 
un	3	3	3	 pA_B	
coup	3	3	3	 pA_I	
à	3	3	3	 pA_I	
boire	5	6	3	 pA_I	
ça	5	5	4	 pA_I	
suffit	6	8	4	 pA_L	
	 	 	 	 	 
très	3	3	3	 pA_B	
bien	7	22	3	 pA_L	
et	30	30	30	 pA_B	
je	30	30	30	 pA_I	
pense	2	4	30	 pA_I	
à	9	9	9	 pA_I	
un	8	9	8	 pA_I	
autre	8	8	8	 pA_I	
truc	5	5	5	 pA_I	
parce	30	30	30	 pA_I	
que	30	30	30	 pA_L	
est	 NA	 NA	 NA	 pA_B	
ce	 NA	 NA	 NA	 pA_I	
que	4	4	4	 pA_I	
vous	4	4	3	 pA_I	
voyez	3	3	3	 pA_I	
d	3	3	3	 pA_I	
autres	3	3	3	 pA_I	
choses	 NA	 NA	 NA	 pA_I	
sur	 NA	 NA	 NA	 pA_I	
le	2	4	29	 pA_I	
ce	30	30	30	 pA_I	
débat	4	6	1	 pA_L	
donc	4	6	3	 pA_B	
vous	3	3	3	 pA_I	
vous	4	5	3	 pA_I	
organisez	4	4	3	 pA_I	
vous	4	4	3	 pA_I	
v-	3	4	1	 pA_I	
vous	4	4	1	 pA_I	
rencontrez	4	4	3	 pA_I	
le	3	4	3	 pA_I	
vingt	3	3	3	 pA_I	
quatre	3	4	3	 pA_I	
vous	4	4	3	 pA_I	
faites	4	4	3	 pA_I	
le	3	4	3	 pA_I	
plan	3	4	3	 pA_I	
de	3	3	3	 pA_I	
cette	3	3	3	 pA_I	
conférence	5	9	3	 pA_L	
toi	4	4	4	 pA_B	
par	4	4	4	 pA_I	
la	4	4	4	 pA_I	
suite	3	4	3	 pA_I	
tu	1	1	1	 pA_I	
fais	4	5	1	 pA_I	
le	4	4	3	 pA_I	
contenu	3	3	3	 pA_I	
du	3	3	3	 pA_I	
de	1	1	1	 pA_I	
la	4	7	3	 pA_I	
doc	4	5	3	 pA_I	
à	22	22	21	 pA_I	
distribuer	4	4	3	 pA_I	
après	4	5	4	 pA_I	
les	4	5	4	 pA_I	
vacances	4	5	4	 pA_I	
donc	4	5	3	 pA_I	
tu	3	4	3	 pA_I	
as	3	4	3	 pA_I	
quinze	5	5	5	 pA_I	
jours	5	5	5	 pA_I	
pour	7	12	3	 pA_I	
les	4	4	3	 pA_I	
va-	3	4	3	 pA_I	
pendant	4	4	3	 pA_I	
les	4	4	4	 pA_I	
vacances	4	4	3	 pA_I	
d	4	4	3	 pA_I	
avril	4	4	3	 pA_I	
pour	3	3	3	 pA_I	
travailler	3	4	3	 pA_I	
sur	3	3	3	 pA_I	
le	3	3	2	 pA_I	
sur	3	3	3	 pA_I	
la	3	3	3	 pA_I	
com	6	22	4	 pA_L	
on	6	10	3	 pA_B	
diffuse	4	5	3	 pA_I	
après	4	5	4	 pA_I	
les	4	4	4	 pA_I	
vacances	3	4	3	 pA_I	
d	4	6	3	 pA_I	
avril	4	6	3	 pA_L	
on	3	6	30	 pA_B	
a	4	4	4	 pA_I	
un	4	4	4	 pA_I	
mois	4	4	4	 pA_I	
et	3	4	3	 pA_I	
demi	5	7	3	 pA_L	
la	4	4	3	 pA_B	
salle	4	4	4	 pA_I	
numéro	4	4	4	 pA_I	
trois	4	4	4	 pA_I	
à	4	4	4	 pA_I	
partir	4	4	3	 pA_I	
de	3	3	3	 pA_I	
dix	3	3	3	 pA_I	
huit	3	5	3	 pA_I	
heures	5	6	4	 pA_L	
bon	4	4	3	 pA_B	
ben	3	4	3	 pA_I	
voilà	5	7	3	 pA_I	
une	3	7	30	 pA_I	
affaire	2	4	30	 pA_I	
qui	4	5	4	 pA_I	
roule	6	7	4	 pA_I	
hein	5	5	5	 pA_L	
	 	 	 	 	 
oui	3	3	3	 pA_B	
là	3	3	3	 pA_I	
ce	 NA	 NA	 NA	 pA_I	
qu	3	7	1	 pA_I	
on	3	7	1	 pA_I	
peut	7	7	6	 pA_I	
c	5	7	30	 pA_I	
est	5	7	30	 pA_I	
bon	5	6	5	 pA_L	
	 	 	 	 	 
ce	5	5	5	 pA_B	
qu	5	6	5	 pA_I	
on	5	6	5	 pA_I	
peut	6	6	6	 pA_I	
peut	5	6	5	 pA_I	
être	6	6	6	 pA_I	
se	1	6	30	 pA_I	
poser	5	6	30	 pA_I	
comme	5	6	5	 pA_I	
question	5	6	5	 pA_I	
je	5	5	5	 pA_I	
pense	5	6	5	 pA_I	
à	5	5	5	 pA_I	
de	5	5	4	 pA_I	
la	5	5	4	 pA_I	
communication	5	5	5	 pA_I	
encore	5	5	5	 pA_I	
parce	4	5	4	 pA_I	
que	4	5	4	 pA_I	
le	4	4	4	 pA_I	
support	4	4	4	 pA_I	
c	6	11	3	 pA_I	
est	6	11	3	 pA_I	
c	30	30	30	 pA_I	
est	30	30	30	 pA_I	
plus	5	16	3	 pA_I	
facile	5	6	3	 pA_I	
mais	4	4	4	 pA_I	
c	12	12	4	 pA_I	
est	12	12	4	 pA_I	
plutôt	5	5	5	 pA_I	
sur	5	5	4	 pA_I	
euh	3	4	29	 pA_I	
où	5	6	4	 pA_I	
et	11	12	10	 pA_I	
comment	5	5	5	 pA_I	
diffuser	5	5	4	 pA_I	
ensuite	5	6	4	 pA_L	
euh	1	1	1	 pA_B	
c	5	5	5	 pA_I	
est	5	5	5	 pA_I	
pareil	4	5	4	 pA_I	
c	5	5	4	 pA_I	
est	5	5	4	 pA_I	
des	4	4	4	 pA_I	
choses	5	5	4	 pA_I	
que	5	5	5	 pA_I	
j	5	5	4	 pA_I	
ai	5	5	4	 pA_I	
du	4	5	4	 pA_I	
mal	5	5	4	 pA_I	
à	5	5	5	 pA_I	
imaginer	4	5	4	 pA_L	
	 	 	 	 	 
y	4	4	4	 pA_B	
a	4	4	4	 pA_I	
pas	4	5	2	 pA_I	
un	3	5	3	 pA_I	
journal	3	6	2	 pA_I	
qui	2	3	2	 pA_L	
	 	 	 	 	 
on	7	12	2	 pA_B	
sait	6	6	5	 pA_I	
que	6	6	5	 pA_I	
on	5	6	4	 pA_I	
veut	5	5	4	 pA_I	
toucher	5	6	5	 pA_I	
une	5	5	4	 pA_I	
population	5	5	4	 pA_I	
qui	5	5	4	 pA_I	
à	4	5	4	 pA_I	
priori	5	6	4	 pA_I	
irait	5	5	4	 pA_I	
même	5	5	4	 pA_I	
pas	5	5	4	 pA_I	
voter	5	5	4	 pA_I	
parce	5	5	4	 pA_I	
que	5	5	4	 pA_I	
absolument	4	5	4	 pA_I	
pas	4	5	4	 pA_I	
euh	4	4	3	 pA_I	
sensible	4	5	3	 pA_I	
à	4	5	4	 pA_I	
ça	4	5	4	 pA_I	
au	4	4	4	 pA_I	
départ	5	6	4	 pA_L	
ou	9	12	4	 pA_B	
est	5	5	5	 pA_I	
ce	5	5	5	 pA_I	
qu	5	5	4	 pA_I	
on	5	5	4	 pA_I	
communique	5	5	4	 pA_I	
enfin	4	5	4	 pA_I	
bon	4	4	4	 pA_I	
faut	4	4	4	 pA_I	
qu	4	4	4	 pA_I	
on	4	4	4	 pA_I	
y	4	4	4	 pA_L	
	 	 	 	 	 
ben	4	5	4	 pA_B	
on	3	4	3	 pA_I	
va	4	8	2	 pA_I	
parce	4	19	30	 pA_I	
que	4	19	30	 pA_I	
moi	3	4	3	 pA_I	
je	3	3	2	 pA_I	
lui	2	2	2	 pA_I	
ai	2	2	2	 pA_I	
dit	3	3	2	 pA_I	
parce	3	3	2	 pA_I	
que	3	3	2	 pA_I	
je	2	2	2	 pA_I	
savais	2	2	2	 pA_I	
pas	2	3	29	 pA_I	
j	2	2	2	 pA_I	
étais	2	2	2	 pA_I	
aussi	2	3	2	 pA_I	
dans	2	3	2	 pA_I	
le	2	2	2	 pA_I	
brouillard	3	3	2	 pA_L	
c	 NA	 NA	 NA	 pA_B	
est	 NA	 NA	 NA	 pA_I	
pas	2	2	1	 pA_I	
parce	2	2	1	 pA_I	
que	2	2	1	 pA_I	
je	2	2	2	 pA_I	
connais	3	3	2	 pA_I	
quelqu	3	3	2	 pA_I	
un	3	3	2	 pA_I	
qui	2	3	2	 pA_I	
travaille	2	3	2	 pA_I	
là	2	2	29	 pA_I	
dedans	3	3	30	 pA_I	
que	3	3	3	 pA_I	
je	 NA	 NA	 NA	 pA_I	
connais	3	3	3	 pA_I	
tout	3	4	3	 pA_I	
sur	3	3	2	 pA_I	
l	3	3	2	 pA_I	
Europe	3	3	2	 pA_L	
	 	 	 	 	 
ben	5	5	4	 pA_B	
oui	6	7	5	 pA_I	
c	6	6	6	 pA_I	
est	6	6	6	 pA_I	
ça	6	7	6	 pA_I	
non	7	7	6	 pA_I	
non	7	7	7	 pA_I	
c	5	6	4	 pA_I	
est	5	6	4	 pA_I	
après	4	7	2	 pA_I	
moi	11	14	3	 pA_I	
je	6	15	5	 pA_I	
sais	2	5	1	 pA_I	
pas	6	6	5	 pA_I	
le	4	6	3	 pA_I	
le	4	5	4	 pA_I	
les	4	5	4	 pA_I	
lieux	5	6	5	 pA_I	
de	5	5	4	 pA_I	
prédilection	3	6	30	 pA_L	
	 	 	 	 	 
moi	4	5	1	 pA_B	
ce	5	5	5	 pA_I	
que	4	4	4	 pA_I	
je	3	4	3	 pA_I	
lui	3	3	3	 pA_I	
ai	3	3	3	 pA_I	
dit	4	5	3	 pA_I	
je	3	3	3	 pA_I	
lui	4	4	3	 pA_I	
ai	3	3	3	 pA_I	
dit	4	4	3	 pA_I	
dans	4	5	4	 pA_I	
le	4	4	4	 pA_I	
doute	4	5	3	 pA_I	
pour	 NA	 NA	 NA	 pA_I	
tout	4	4	3	 pA_I	
public	4	4	3	 pA_I	
parce	3	4	3	 pA_I	
que	3	4	3	 pA_I	
bon	3	3	3	 pA_I	
euh	29	30	29	 pA_I	
comme	3	4	3	 pA_I	
je	3	3	30	 pA_I	
sais	3	4	30	 pA_I	
que	3	3	3	 pA_I	
bon	30	3	29	 pA_I	
euh	29	29	29	 pA_L	
	 	 	 	 	 
ouais	5	5	5	 pA_B	
ouais	5	6	3	 pA_I	
est	8	13	3	 pA_I	
ce	3	3	3	 pA_I	
que	3	5	2	 pA_I	
on	4	4	3	 pA_I	
trouve	3	6	29	 pA_L	
	 	 	 	 	 
moi	3	3	2	 pA_B	
je	7	13	2	 pA_I	
verrais	3	13	2	 pA_I	
bien	2	2	1	 pA_I	
euh	9	14	30	 pA_I	
un	1	1	1	 pA_I	
espèce	5	12	1	 pA_I	
de	1	1	1	 pA_I	
tract	2	2	1	 pA_I	
moi	1	1	1	 pA_I	
je	1	1	30	 pA_I	
ça	2	2	2	 pA_I	
me	1	2	1	 pA_I	
fait	8	12	1	 pA_I	
rien	2	2	2	 pA_I	
de	2	2	30	 pA_I	
faire	2	2	1	 pA_I	
les	1	1	1	 pA_I	
immeubles	1	2	1	 pA_I	
d	1	2	1	 pA_I	
aller	1	2	1	 pA_I	
mettre	1	1	1	 pA_I	
dans	1	1	1	 pA_I	
les	1	1	1	 pA_I	
boîtes	1	1	1	 pA_I	
aux	1	1	1	 pA_I	
lettres	12	14	30	 pA_I	
boîtes	4	5	1	 pA_I	
